distid,X2019,X2020,,,,distid,X2019,X2020,perc Contr,cum %,80th Percentile,,distid,X2019,X2020,perc Contr,cum %,,,
507,NA,NA,,,,1102,380,744,0.002324571,0.946180056,,,3101,280,572,0.002557042,0.954608039,,,
601,NA,NA,,,,1124,327,125,0.002000355,0.948180411,,,1103,569,564,0.002521279,0.957129318,,,
602,NA,NA,,,,2103,318,924,0.001945299,0.95012571,,,2310,105,560,0.002503397,0.959632716,,,
603,NA,NA,,,,3404,318,315,0.001945299,0.95207101,,,1907,314,507,0.002266469,0.961899185,,,
2407,7463,10812,,,,1808,316,108,0.001933065,0.954004074,,,2701,NA,490,0.002190473,0.964089657,,,
1905,5383,9497,,,,1907,314,507,0.00192083,0.955924904,,,905,408,484,0.002163651,0.966253308,,,
606,NA,NA,,,,2602,312,255,0.001908595,0.9578335,,,2706,907,412,0.001841785,0.968095093,,,
607,NA,NA,,,,1015,305,374,0.001865774,0.959699274,,,1015,305,374,0.001671912,0.969767005,,,
608,NA,NA,,,,2006,284,236,0.001737311,0.961436585,,,1809,84,354,0.001582505,0.97134951,,,
609,NA,NA,,,,3101,280,572,0.001712842,0.963149427,,,3404,318,315,0.001408161,0.972757671,,,
610,NA,NA,,,,1014,278,41,0.001700607,0.964850035,,,605,123,289,0.001291932,0.974049603,,,
611,NA,NA,,,,1703,267,242,0.001633317,0.966483352,,,112,199,284,0.00126958,0.975319183,,,
612,NA,NA,,,,1701,228,156,0.001394743,0.967878095,,,1302,139,263,0.001175703,0.976494886,,,
613,NA,NA,,,,3102,223,NA,0.001364156,0.969242251,,,2602,312,255,0.00113994,0.977634826,,,
614,NA,NA,,,,1804,221,752,0.001351922,0.970594173,,,809,886,248,0.001108647,0.978743473,,,
615,NA,NA,,,,2404,218,236,0.00133357,0.971927743,,,1703,267,242,0.001081825,0.979825299,,,
616,NA,NA,,,,3409,216,170,0.001321335,0.973249078,,,2006,284,236,0.001055003,0.980880302,,,
617,NA,NA,,,,112,199,284,0.001217341,0.974466419,,,2404,218,236,0.001055003,0.981935305,,,
618,NA,NA,,,,901,189,NA,0.001156168,0.975622587,,,1312,111,223,0.000996889,0.982932194,,,
619,NA,NA,,,,815,184,18,0.001125582,0.976748169,,,2707,139,180,0.000804663,0.983736857,,,
701,NA,NA,,,,2505,146,155,0.000893125,0.977641294,,,2203,91,179,0.000800193,0.98453705,,,
702,NA,NA,,,,2709,142,69,0.000868656,0.97850995,,,804,730,173,0.000773371,0.985310421,,,
703,NA,NA,,,,903,141,171,0.000862538,0.979372488,,,903,141,171,0.00076443,0.986074852,,,
704,NA,NA,,,,1302,139,263,0.000850304,0.980222792,,,3409,216,170,0.00075996,0.986834812,,,
705,NA,NA,,,,2707,139,180,0.000850304,0.981073096,,,1701,228,156,0.000697375,0.987532187,,,
706,NA,NA,,,,3402,132,105,0.000807483,0.981880578,,,2507,37,156,0.000697375,0.988229562,,,
707,NA,NA,,,,1612,125,19,0.000764662,0.98264524,,,2505,146,155,0.000692905,0.988922466,,,
708,NA,NA,,,,2403,124,810,0.000758544,0.983403784,,,2402,1,145,0.000648201,0.989570667,,,
709,NA,NA,,,,605,123,289,0.000752427,0.984156211,,,1124,327,125,0.000558794,0.990129461,,,
710,NA,NA,,,,904,123,15,0.000752427,0.984908638,,,803,81,110,0.000491739,0.9906212,,,
711,NA,NA,,,,1609,113,90,0.000691254,0.985599892,,,205,NA,108,0.000482798,0.991103998,,,
801,NA,NA,,,,1312,111,223,0.00067902,0.986278912,,,1808,316,108,0.000482798,0.991586796,,,
2311,6388,9372,,,,2702,106,59,0.000648433,0.986927345,,,3402,132,105,0.000469387,0.992056183,,,
2307,7371,7863,,,,2310,105,560,0.000642316,0.987569661,,,820,89,99,0.000442565,0.992498748,,,
1903,538,6365,,,,2703,92,14,0.000562791,0.988132452,,,2014,57,98,0.000438095,0.992936843,,,
2601,5050,6065,,,,2203,91,179,0.000556674,0.988689125,,,1007,85,91,0.000406802,0.993343645,,,
2105,3102,4548,,,,820,89,99,0.000544439,0.989233564,,,1609,113,90,0.000402332,0.993745977,,,
2312,4194,4386,,,,1007,85,91,0.00051997,0.989753534,,,2502,NA,78,0.000348688,0.994094664,,,
2313,2235,4195,,,,1809,84,354,0.000513853,0.990267387,,,1118,67,72,0.000321865,0.99441653,,,
1904,503,3688,,,,803,81,110,0.000495501,0.990762888,,,1813,40,69,0.000308454,0.994724984,,,
1115,2142,3420,,,,1706,72,10,0.000440445,0.991203333,,,2709,142,69,0.000308454,0.995033438,,,
811,NA,NA,,,,1708,72,30,0.000440445,0.991643778,,,2004,7,65,0.000290573,0.995324011,,,
812,NA,NA,,,,1118,67,72,0.000409859,0.992053636,,,802,59,61,0.000272692,0.995596703,,,
2416,2561,3166,,,,1003,62,25,0.000379272,0.992432909,,,2702,106,59,0.000263751,0.995860453,,,
2605,3258,3063,,,,1004,62,NA,0.000379272,0.992812181,,,1307,14,56,0.00025034,0.996110793,,,
2205,1911,2752,,,,802,59,61,0.00036092,0.993173101,,,902,47,53,0.000236929,0.996347722,,,
2604,2064,2575,,,,1001,57,36,0.000348686,0.993521787,,,2012,19,52,0.000232458,0.99658018,,,
2106,1589,2445,,,,2014,57,98,0.000348686,0.993870472,,,1014,278,41,0.000183284,0.996763465,,,
818,NA,NA,,,,2110,54,1,0.000330334,0.994200806,,,3406,NA,40,0.000178814,0.996942279,,,
819,NA,NA,,,,806,50,14,0.000305865,0.994506671,,,1001,57,36,0.000160933,0.997103212,,,
1608,2782,2354,,,,1002,49,12,0.000299747,0.994806418,,,1126,26,33,0.000147522,0.997250733,,,
821,NA,NA,,,,902,47,53,0.000287513,0.995093931,,,207,NA,31,0.000138581,0.997389314,,,
822,33,NA,,,,814,45,13,0.000275278,0.995369209,,,1315,12,30,0.000134111,0.997523425,,,
901,189,NA,,,,816,43,21,0.000263044,0.995632253,,,1708,72,30,0.000134111,0.997657535,,,
2305,1857,2340,,,,1902,43,642,0.000263044,0.995895296,,,2411,41,30,0.000134111,0.997791646,,,
2415,1418,2081,,,,2411,41,30,0.000250809,0.996146105,,,1901,8,26,0.000116229,0.997907875,,,
1606,2647,2030,,,,1813,40,69,0.000244692,0.996390797,,,1003,62,25,0.000111759,0.998019634,,,
3106,1623,2004,,,,1805,38,4,0.000232457,0.996623254,,,2414,NA,22,9.83478E-05,0.998117982,,,
2111,1560,1810,,,,2507,37,156,0.00022634,0.996849594,,,816,43,21,9.38774E-05,0.998211859,,,
1803,519,1625,,,,2108,36,NA,0.000220223,0.997069817,,,2101,5,21,9.38774E-05,0.998305736,,,
2705,574,1602,,,,822,33,NA,0.000201871,0.997271687,,,3105,NA,21,9.38774E-05,0.998399614,,,
1004,62,NA,,,,1704,33,3,0.000201871,0.997473558,,,1612,125,19,8.49367E-05,0.99848455,,,
1005,11,NA,,,,2413,33,6,0.000201871,0.997675429,,,206,NA,18,8.04663E-05,0.998565017,,,
2301,2039,1583,,,,3401,33,4,0.000201871,0.997877299,,,815,184,18,8.04663E-05,0.998645483,,,
1607,1363,1453,,,,1006,29,4,0.000177401,0.998054701,,,807,NA,17,7.5996E-05,0.998721479,,,
1008,NA,NA,,,,1126,26,33,0.00015905,0.99821375,,,813,464,17,7.5996E-05,0.998797475,,,
805,396,1429,,,,1010,24,5,0.000146815,0.998360565,,,2504,NA,16,7.15256E-05,0.998869001,,,
1116,1144,1422,,,,1112,21,NA,0.000128463,0.998489029,,,3408,7,16,7.15256E-05,0.998940526,,,
2603,762,1380,,,,2012,19,52,0.000116229,0.998605257,,,904,123,15,6.70553E-05,0.999007582,,,
1012,NA,NA,,,,1802,18,671,0.000110111,0.998715368,,,806,50,14,6.25849E-05,0.999070167,,,
2406,800,1362,,,,1702,16,2,9.78767E-05,0.998813245,,,2703,92,14,6.25849E-05,0.999132752,,,
2309,561,1315,,,,2412,16,NA,9.78767E-05,0.998911122,,,814,45,13,5.81146E-05,0.999190866,,,
2408,783,1010,,,,1307,14,56,8.56421E-05,0.998996764,,,2710,1,13,5.81146E-05,0.999248981,,,
2103,318,924,,,,1707,13,4,7.95248E-05,0.999076289,,,203,NA,12,5.36442E-05,0.999302625,,,
2405,482,871,,,,1315,12,30,7.34075E-05,0.999149696,,,1002,49,12,5.36442E-05,0.999356269,,,
2403,124,810,,,,1605,12,NA,7.34075E-05,0.999223104,,,1710,7,12,5.36442E-05,0.999409913,,,
1104,NA,NA,,,,2401,12,5,7.34075E-05,0.999296511,,,1113,7,10,4.47035E-05,0.999454617,,,
1105,NA,NA,,,,1005,11,NA,6.72902E-05,0.999363802,,,1706,72,10,4.47035E-05,0.999499321,,,
1106,NA,NA,,,,3407,9,NA,5.50556E-05,0.999418857,,,3103,7,10,4.47035E-05,0.999544024,,,
1107,NA,NA,,,,1111,8,NA,4.89383E-05,0.999467796,,,204,NA,9,4.02332E-05,0.999584257,,,
1108,NA,NA,,,,1125,8,NA,4.89383E-05,0.999516734,,,2704,NA,7,3.12925E-05,0.99961555,,,
1109,NA,NA,,,,1901,8,26,4.89383E-05,0.999565672,,,2413,33,6,2.68221E-05,0.999642372,,,
1110,NA,NA,,,,1113,7,10,4.28211E-05,0.999608493,,,1010,24,5,2.23518E-05,0.999664724,,,
1111,8,NA,,,,1710,7,12,4.28211E-05,0.999651314,,,1013,2,5,2.23518E-05,0.999687075,,,
1112,21,NA,,,,2004,7,65,4.28211E-05,0.999694135,,,2104,NA,5,2.23518E-05,0.999709427,,,
1804,221,752,,,,3103,7,10,4.28211E-05,0.999736956,,,2109,5,5,2.23518E-05,0.999731779,,,
1102,380,744,,,,3408,7,16,4.28211E-05,0.999779777,,,2401,12,5,2.23518E-05,0.999754131,,,
2102,445,723,,,,808,6,2,3.67038E-05,0.999816481,,,1006,29,4,1.78814E-05,0.999772012,,,
1802,18,671,,,,1123,6,NA,3.67038E-05,0.999853185,,,1705,4,4,1.78814E-05,0.999789893,,,
1117,NA,NA,,,,2101,5,21,3.05865E-05,0.999883771,,,1707,13,4,1.78814E-05,0.999807775,,,
1711,620,663,,,,2109,5,5,3.05865E-05,0.999914358,,,1805,38,4,1.78814E-05,0.999825656,,,
1119,NA,NA,,,,1705,4,4,2.44692E-05,0.999938827,,,2011,NA,4,1.78814E-05,0.999843538,,,
1120,NA,NA,,,,817,2,1,1.22346E-05,0.999951062,,,3401,33,4,1.78814E-05,0.999861419,,,
1121,NA,NA,,,,1013,2,5,1.22346E-05,0.999963296,,,3403,NA,4,1.78814E-05,0.9998793,,,
1122,NA,NA,,,,1807,2,2,1.22346E-05,0.999975531,,,1101,NA,3,1.34111E-05,0.999892712,,,
1123,6,NA,,,,1009,1,1,6.11729E-06,0.999981648,,,1704,33,3,1.34111E-05,0.999906123,,,
1902,43,642,,,,1011,1,1,6.11729E-06,0.999987765,,,808,6,2,8.94071E-06,0.999915063,,,
1125,8,NA,,,,2402,1,145,6.11729E-06,0.999993883,,,810,NA,2,8.94071E-06,0.999924004,,,
3101,280,572,,,,2710,1,13,6.11729E-06,1,,,1310,NA,2,8.94071E-06,0.999932945,,,
1127,NA,NA,,,,,,,,1,,,1702,16,2,,0.999932945,,,
1128,NA,NA,,,,,,,,1,,,1807,2,2,,0.999932945,,,
1201,NA,NA,,,,,,,,1,,,2510,NA,2,,0.999932945,,,
1202,NA,NA,,,,,,,,1,,,604,NA,1,,0.999932945,,,
1203,NA,NA,,,,,,,,1,,,817,2,1,,0.999932945,,,
1204,NA,NA,,,,,,,,1,,,1009,1,1,,0.999932945,,,
1205,NA,NA,,,,,,,,1,,,1011,1,1,,0.999932945,,,
1206,NA,NA,,,,,,,,1,,,1114,NA,1,,0.999932945,,,
1207,NA,NA,,,,,,,,1,,,2107,NA,1,,0.999932945,,,
1208,NA,NA,,,,,,,,1,,,2110,54,1,,0.999932945,,,
1209,NA,NA,,,,,,,,1,,,2508,NA,1,,0.999932945,,,
1210,NA,NA,,,,,,,,1,,,3405,NA,1,,0.999932945,,,
1211,NA,NA,,,,,,,,,,,,,,,,,,
1212,NA,NA,,,,,,,,,,,,,,,,,,
1213,NA,NA,,,,,,,,,,,,,,,,,,
1214,NA,NA,,,,,,,,,,,,,,,,,,
1215,NA,NA,,,,,,,,,,,,,,,,,,
1216,NA,NA,,,,,,,,,,,,,,,,,,
1217,NA,NA,,,,,,,,,,,,,,,,,,
1301,NA,NA,,,,,,,,,,,,,,,,,,
1103,569,564,,,,,,,,,,,,,,,,,,
1303,NA,NA,,,,,,,,,,,,,,,,,,
1304,NA,NA,,,,,,,,,,,,,,,,,,
1305,NA,NA,,,,,,,,,,,,,,,,,,
1306,NA,NA,,,,,,,,,,,,,,,,,,
2310,105,560,,,,,,,,,,,,,,,,,,
1308,NA,NA,,,,,,,,,,,,,,,,,,
1309,NA,NA,,,,,,,,,,,,,,,,,,
1907,314,507,,,,,,,,,,,,,,,,,,
1311,NA,NA,,,,,,,,,,,,,,,,,,
2701,NA,490,,,,,,,,,,,,,,,,,,
1313,NA,NA,,,,,,,,,,,,,,,,,,
1314,NA,NA,,,,,,,,,,,,,,,,,,
905,408,484,,,,,,,,,,,,,,,,,,
1401,NA,NA,,,,,,,,,,,,,,,,,,
1402,NA,NA,,,,,,,,,,,,,,,,,,
1403,NA,NA,,,,,,,,,,,,,,,,,,
1404,NA,NA,,,,,,,,,,,,,,,,,,
1405,NA,NA,,,,,,,,,,,,,,,,,,
1406,NA,NA,,,,,,,,,,,,,,,,,,
1407,NA,NA,,,,,,,,,,,,,,,,,,
1501,NA,NA,,,,,,,,,,,,,,,,,,
1502,NA,NA,,,,,,,,,,,,,,,,,,
1503,NA,NA,,,,,,,,,,,,,,,,,,
1504,NA,NA,,,,,,,,,,,,,,,,,,
1505,NA,NA,,,,,,,,,,,,,,,,,,
1506,NA,NA,,,,,,,,,,,,,,,,,,
1507,NA,NA,,,,,,,,,,,,,,,,,,
1601,NA,NA,,,,,,,,,,,,,,,,,,
1602,NA,NA,,,,,,,,,,,,,,,,,,
1603,NA,NA,,,,,,,,,,,,,,,,,,
1604,NA,NA,,,,,,,,,,,,,,,,,,
1605,12,NA,,,,,,,,,,,,,,,,,,
2706,907,412,,,,,,,,,,,,,,,,,,
1015,305,374,,,,,,,,,,,,,,,,,,
1809,84,354,,,,,,,,,,,,,,,,,,
3404,318,315,,,,,,,,,,,,,,,,,,
1610,NA,NA,,,,,,,,,,,,,,,,,,
1611,NA,NA,,,,,,,,,,,,,,,,,,
605,123,289,,,,,,,,,,,,,,,,,,
1613,NA,NA,,,,,,,,,,,,,,,,,,
1614,NA,NA,,,,,,,,,,,,,,,,,,
1615,NA,NA,,,,,,,,,,,,,,,,,,
112,199,284,,,,,,,,,,,,,,,,,,
1302,139,263,,,,,,,,,,,,,,,,,,
2602,312,255,,,,,,,,,,,,,,,,,,
809,886,248,,,,,,,,,,,,,,,,,,
1703,267,242,,,,,,,,,,,,,,,,,,
2006,284,236,,,,,,,,,,,,,,,,,,
2404,218,236,,,,,,,,,,,,,,,,,,
1312,111,223,,,,,,,,,,,,,,,,,,
1709,NA,NA,,,,,,,,,,,,,,,,,,
2707,139,180,,,,,,,,,,,,,,,,,,
2203,91,179,,,,,,,,,,,,,,,,,,
1801,NA,NA,,,,,,,,,,,,,,,,,,
804,730,173,,,,,,,,,,,,,,,,,,
903,141,171,,,,,,,,,,,,,,,,,,
3409,216,170,,,,,,,,,,,,,,,,,,
1701,228,156,,,,,,,,,,,,,,,,,,
1806,NA,NA,,,,,,,,,,,,,,,,,,
2507,37,156,,,,,,,,,,,,,,,,,,
2505,146,155,,,,,,,,,,,,,,,,,,
2402,1,145,,,,,,,,,,,,,,,,,,
1810,NA,NA,,,,,,,,,,,,,,,,,,
1811,NA,NA,,,,,,,,,,,,,,,,,,
1812,NA,NA,,,,,,,,,,,,,,,,,,
1124,327,125,,,,,,,,,,,,,,,,,,
1814,NA,NA,,,,,,,,,,,,,,,,,,
803,81,110,,,,,,,,,,,,,,,,,,
205,NA,108,,,,,,,,,,,,,,,,,,
1808,316,108,,,,,,,,,,,,,,,,,,
3402,132,105,,,,,,,,,,,,,,,,,,
820,89,99,,,,,,,,,,,,,,,,,,
2014,57,98,,,,,,,,,,,,,,,,,,
1007,85,91,,,,,,,,,,,,,,,,,,
2001,NA,NA,,,,,,,,,,,,,,,,,,
2002,NA,NA,,,,,,,,,,,,,,,,,,
2003,NA,NA,,,,,,,,,,,,,,,,,,
1609,113,90,,,,,,,,,,,,,,,,,,
2005,NA,NA,,,,,,,,,,,,,,,,,,
2502,NA,78,,,,,,,,,,,,,,,,,,
2007,NA,NA,,,,,,,,,,,,,,,,,,
2008,NA,NA,,,,,,,,,,,,,,,,,,
2009,NA,NA,,,,,,,,,,,,,,,,,,
2010,NA,NA,,,,,,,,,,,,,,,,,,
1118,67,72,,,,,,,,,,,,,,,,,,
1813,40,69,,,,,,,,,,,,,,,,,,
2013,NA,NA,,,,,,,,,,,,,,,,,,
2709,142,69,,,,,,,,,,,,,,,,,,
2015,NA,NA,,,,,,,,,,,,,,,,,,
2016,NA,NA,,,,,,,,,,,,,,,,,,
2004,7,65,,,,,,,,,,,,,,,,,,
802,59,61,,,,,,,,,,,,,,,,,,
2702,106,59,,,,,,,,,,,,,,,,,,
1307,14,56,,,,,,,,,,,,,,,,,,
902,47,53,,,,,,,,,,,,,,,,,,
2012,19,52,,,,,,,,,,,,,,,,,,
1014,278,41,,,,,,,,,,,,,,,,,,
2108,36,NA,,,,,,,,,,,,,,,,,,
3406,NA,40,,,,,,,,,,,,,,,,,,
1001,57,36,,,,,,,,,,,,,,,,,,
1126,26,33,,,,,,,,,,,,,,,,,,
2201,NA,NA,,,,,,,,,,,,,,,,,,
2202,NA,NA,,,,,,,,,,,,,,,,,,
207,NA,31,,,,,,,,,,,,,,,,,,
2204,NA,NA,,,,,,,,,,,,,,,,,,
1315,12,30,,,,,,,,,,,,,,,,,,
1708,72,30,,,,,,,,,,,,,,,,,,
2411,41,30,,,,,,,,,,,,,,,,,,
1901,8,26,,,,,,,,,,,,,,,,,,
1003,62,25,,,,,,,,,,,,,,,,,,
2414,NA,22,,,,,,,,,,,,,,,,,,
816,43,21,,,,,,,,,,,,,,,,,,
2101,5,21,,,,,,,,,,,,,,,,,,
3105,NA,21,,,,,,,,,,,,,,,,,,
1612,125,19,,,,,,,,,,,,,,,,,,
206,NA,18,,,,,,,,,,,,,,,,,,
815,184,18,,,,,,,,,,,,,,,,,,
807,NA,17,,,,,,,,,,,,,,,,,,
813,464,17,,,,,,,,,,,,,,,,,,
2504,NA,16,,,,,,,,,,,,,,,,,,
3408,7,16,,,,,,,,,,,,,,,,,,
904,123,15,,,,,,,,,,,,,,,,,,
806,50,14,,,,,,,,,,,,,,,,,,
2703,92,14,,,,,,,,,,,,,,,,,,
814,45,13,,,,,,,,,,,,,,,,,,
2710,1,13,,,,,,,,,,,,,,,,,,
203,NA,12,,,,,,,,,,,,,,,,,,
2409,NA,NA,,,,,,,,,,,,,,,,,,
2410,NA,NA,,,,,,,,,,,,,,,,,,
1002,49,12,,,,,,,,,,,,,,,,,,
2412,16,NA,,,,,,,,,,,,,,,,,,
1710,7,12,,,,,,,,,,,,,,,,,,
1113,7,10,,,,,,,,,,,,,,,,,,
1706,72,10,,,,,,,,,,,,,,,,,,
3103,7,10,,,,,,,,,,,,,,,,,,
2501,NA,NA,,,,,,,,,,,,,,,,,,
204,NA,9,,,,,,,,,,,,,,,,,,
2503,NA,NA,,,,,,,,,,,,,,,,,,
2704,NA,7,,,,,,,,,,,,,,,,,,
2413,33,6,,,,,,,,,,,,,,,,,,
2506,NA,NA,,,,,,,,,,,,,,,,,,
1010,24,5,,,,,,,,,,,,,,,,,,
1013,2,5,,,,,,,,,,,,,,,,,,
2509,NA,NA,,,,,,,,,,,,,,,,,,
2104,NA,5,,,,,,,,,,,,,,,,,,
2511,NA,NA,,,,,,,,,,,,,,,,,,
2109,5,5,,,,,,,,,,,,,,,,,,
2401,12,5,,,,,,,,,,,,,,,,,,
1006,29,4,,,,,,,,,,,,,,,,,,
1705,4,4,,,,,,,,,,,,,,,,,,
1707,13,4,,,,,,,,,,,,,,,,,,
1805,38,4,,,,,,,,,,,,,,,,,,
2011,NA,4,,,,,,,,,,,,,,,,,,
3401,33,4,,,,,,,,,,,,,,,,,,
3403,NA,4,,,,,,,,,,,,,,,,,,
1101,NA,3,,,,,,,,,,,,,,,,,,
1704,33,3,,,,,,,,,,,,,,,,,,
808,6,2,,,,,,,,,,,,,,,,,,
2708,NA,NA,,,,,,,,,,,,,,,,,,
810,NA,2,,,,,,,,,,,,,,,,,,
1310,NA,2,,,,,,,,,,,,,,,,,,
2801,NA,NA,,,,,,,,,,,,,,,,,,
2802,NA,NA,,,,,,,,,,,,,,,,,,
2803,NA,NA,,,,,,,,,,,,,,,,,,
2804,NA,NA,,,,,,,,,,,,,,,,,,
2805,NA,NA,,,,,,,,,,,,,,,,,,
2806,NA,NA,,,,,,,,,,,,,,,,,,
2807,NA,NA,,,,,,,,,,,,,,,,,,
2901,NA,NA,,,,,,,,,,,,,,,,,,
2902,NA,NA,,,,,,,,,,,,,,,,,,
2903,NA,NA,,,,,,,,,,,,,,,,,,
2904,NA,NA,,,,,,,,,,,,,,,,,,
2905,NA,NA,,,,,,,,,,,,,,,,,,
2906,NA,NA,,,,,,,,,,,,,,,,,,
2907,NA,NA,,,,,,,,,,,,,,,,,,
2908,NA,NA,,,,,,,,,,,,,,,,,,
2909,NA,NA,,,,,,,,,,,,,,,,,,
